sample,Histamine,Putrescine,Cadaverine,POV,TBARS,Tryptamine,Phenylethylamine,Chewiness,Cohesiveness,Tyramine,Adhesion,Hardness,TVBN,AN,Spermidine
CF1,7.23297858,77.85808094,98.96684927,0.084544059,0.156101276,1.343270435,3.588380865,733.4860992,0.577312348,260.6450588,1250.736852,2734.147624,29.96488472,0.28095064,4.716439938
CF2,8.955368672,69.4090785,85.90883487,0.068816906,0.154084356,1.643811954,4.073128444,781.5212587,0.442928116,384.9265843,1252.371835,2702.621123,37.44907373,0.192718257,3.817720008
CF3,7.703938475,84.27195026,90.44038712,0.075464461,0.143680469,1.266740907,4.090264868,765.0877102,0.518864477,480.9837634,1617.939799,2115.878664,27.93990542,0.173171304,4.592173507
CF4,9.510017251,79.65026136,81.67191629,0.076275381,0.117770166,1.595484262,4.192541782,758.782695,0.561858276,342.9792354,1579.930818,3080.764979,22.68004661,0.236996577,4.697311612
CF5,8.99237437,77.63966036,75.60505613,0.073213062,0.155382636,1.298355353,4.184924084,764.2738494,0.517703752,317.6906796,1304.590539,3331.614542,21.34993035,0.254196421,3.819440421
CF6,10.60025102,77.1205783,104.7765584,0.077134112,0.158246064,1.562841532,3.605713807,757.6637134,0.496455944,390.5592307,1366.141858,3458.651916,31.82644747,0.229770294,4.206484004
CF7,9.503860654,68.25604724,75.4786088,0.083182132,0.169713537,1.686432965,3.775642295,765.0090391,0.475891459,327.2204418,1512.025378,2682.350713,21.40536418,0.213446474,4.448848033
CF8,7.100812468,79.08137789,87.88985735,0.091713499,0.147575954,1.201219005,3.311223373,760.1655128,0.530884114,254.4563166,1476.33539,2763.809205,35.71536241,0.219655326,4.658367364
CF9,8.74661096,80.01700939,81.16575021,0.076143495,0.163009141,1.460418082,3.569765844,761.280061,0.512895745,379.83774,1605.190229,2838.348124,19.00831773,0.198373491,4.462243754
CF10,9.972200354,81.90995604,136.427739,0.110925277,0.212550703,1.756019775,2.774705259,853.5650932,0.501344423,282.448447,1462.33006,2308.253658,40.27086857,0.30415352,4.311563334
CF11,9.645081264,64.98463601,98.09683136,0.121067811,0.195056424,0.727767117,3.31041507,749.7198289,0.487015702,312.5387734,1486.788274,2689.262139,23.62693292,0.237302413,4.447172483
CF12,8.569657933,93.91161463,111.7886618,0.103478236,0.202324927,2.018400911,2.134214031,562.290715,0.480169136,276.8485951,1373.203819,3090.27358,28.06771391,0.273139124,4.519776729
CF13,9.280755391,66.90993812,80.10111548,0.109331365,0.178545119,1.77679364,3.229052924,773.5680943,0.469883943,257.8102293,734.7366382,2863.717078,29.89831102,0.222578637,4.600225166
CF14,9.582317326,83.76386837,107.7388533,0.133657687,0.177959264,1.360653923,3.072735761,796.4857919,0.482910886,271.3421997,1035.368834,2571.662529,28.95741491,0.213043149,4.306646757
CF15,9.634786918,49.99272917,133.6058423,0.100421444,0.188362451,1.398093575,3.308026972,834.4597512,0.494084113,288.6919591,2034.343781,2686.102999,34.09504832,0.247796272,4.552378781
CF16,9.567391163,59.57532084,99.45646622,0.110831358,0.220900414,0.944528975,4.935109076,645.5981315,0.499261989,267.9969254,1433.627153,3177.843161,33.6385171,0.24733048,4.585834212
CF17,9.364273721,47.02969941,93.0580961,0.125870991,0.194353479,1.400134167,3.640076153,911.5857898,0.484423665,296.7645814,1743.834318,3079.654435,38.38096392,0.272026567,4.512125052
CF18,11.08319,92.6990035,109.9975757,0.121726678,0.184493933,1.552875623,2.772499447,532.7154072,0.479525462,252.6235618,1398.669153,2590.056592,21.69347442,0.236754128,4.184762513
CF19,11.51059827,129.7892248,63.8788052,0.137994398,0.122355448,2.49472284,6.892797054,1067.096494,0.508230709,308.9649927,2113.561329,4362.52874,56.9216316,0.269899014,3.773714372
CF20,10.43751836,96.78587097,127.5985953,0.106763241,0.102480408,2.294417057,7.166886806,1054.435786,0.473994349,321.7048505,2068.290991,4560.093834,68.10780544,0.269380722,4.781900549
CF21,11.32233016,113.4761504,122.8872798,0.101994484,0.128637648,2.553825435,7.862866076,1169.338762,0.515803796,297.9453138,2120.519135,3486.643364,63.39936008,0.279437872,4.036654567
CF22,14.72051603,140.7533379,92.01138075,0.114683748,0.105835425,1.668785593,6.631814862,1150.89305,0.495223303,270.4596693,1947.382234,4220.151199,43.19297199,0.217412101,4.58791421
CF23,11.42465214,113.4346708,82.71919094,0.118250733,0.111193864,2.128055404,8.28460657,1142.95569,0.489564931,320.2904809,1943.213856,4081.444388,46.87032818,0.25825304,4.164935655
CF24,14.47624254,120.9711963,130.4528594,0.117075692,0.1281018,2.71167121,7.256225028,1219.719197,0.497909136,336.4746127,2041.917814,4225.546049,54.80448585,0.265332535,3.836126983
CF25,12.28091686,123.2210363,132.7307568,0.116710535,0.087408997,2.27196689,6.815573126,1295.433138,0.499388673,323.5981297,1880.613721,4472.290936,61.0116767,0.292012025,3.987070224
CF26,11.11739225,127.1416804,76.63124968,0.099016419,0.118187542,2.099337683,6.831679166,1138.081006,0.493632824,322.3463311,2238.895071,4381.912829,63.04671872,0.272518752,3.568374688
CF27,11.35215548,99.67704008,130.3146699,0.091950849,0.09286559,2.527306528,7.483627544,1164.9424,0.496689473,292.0857262,1629.109514,4204.874325,56.71014151,0.254362223,4.505628956
CF28,12.88268107,132.5176682,216.7239332,0.076381909,0.094773151,2.767370196,2.767301579,1110.907994,0.508743367,388.9281591,2202.891245,4626.424172,69.98426443,0.346932815,6.215028796
CF29,13.85927859,177.4681745,195.5243443,0.086651353,0.090167979,2.813752747,4.181696272,1170.136889,0.500703993,429.3312997,2270.809001,4521.340435,60.08589705,0.281664314,6.068112195
CF30,13.65774977,182.94574,315.8617914,0.085918662,0.115443683,2.974871909,3.365912542,1101.47324,0.471108766,436.0677081,2204.763472,4588.701093,71.1356363,0.239710346,6.237863293
CF31,12.57303832,208.9524068,169.826584,0.083463843,0.132350203,3.028203937,3.478915435,1228.530397,0.48685792,329.0195086,2138.770059,4522.484904,69.02716511,0.280545673,6.220272846
CF32,12.505032,139.908087,210.7787057,0.093110887,0.116327303,3.393154863,4.0694556,1113.207367,0.515356381,405.1142211,2151.014863,4429.812981,68.93073465,0.238155797,5.979020146
CF33,12.20605813,207.4077206,217.0166717,0.086834017,0.090754962,3.652801959,3.089035996,1261.693239,0.489756547,445.3166634,2058.606524,4456.412791,77.3940963,0.227167886,6.710895818
CF34,12.60683431,208.0371129,208.4371988,0.074873928,0.128582446,3.246354951,3.108584293,1181.069595,0.482266464,405.8346487,2241.656245,4622.905146,54.78694923,0.347221154,5.55704716
CF35,10.99017453,177.8718252,225.0034546,0.080249707,0.099843211,3.204511755,3.240831636,1100.28788,0.491722892,416.4324636,2242.761818,4417.514219,60.03270786,0.347379349,5.994216783
CF36,12.46890888,233.6914637,259.5426557,0.078593048,0.140398206,3.320667048,3.983486374,1171.792764,0.463362087,457.2648331,2182.414221,4627.309442,63.54480274,0.331136183,5.804999401
LF1,4.241450883,61.99786407,88.88457585,0.074226172,0.474241977,0.346183219,1.19887406,854.7695588,0.456002402,351.1177407,1246.751708,2803.581277,15.23478012,0.244424535,5.890024164
LF2,3.494518688,72.74058795,100.2636486,0.097717744,0.55883961,0.374671045,1.100718391,777.9986996,0.497343445,302.6671338,1234.158454,2579.92493,13.31342479,0.306505633,5.660943535
LF3,4.76030822,61.74968606,96.25083416,0.113603971,0.345761442,0.304778476,0.858201916,628.0826276,0.454804561,255.0290177,1162.383701,2722.483922,16.89260071,0.293022118,6.292292911
LF4,4.552008707,81.30582631,103.2562664,0.062954755,0.476860927,0.330451092,0.973234406,681.0723619,0.457787148,498.1422194,1373.148054,2574.873638,14.75359381,0.174186584,6.643440594
LF5,3.857427098,79.16019893,82.17031417,0.067265736,0.458086105,0.312980794,1.259441628,892.4795321,0.444159591,440.4288201,1654.121531,3520.180389,16.31811779,0.301599961,6.018553976
LF6,3.965963466,62.09508825,71.36876252,0.071564352,0.463175106,0.319363666,1.075926984,851.680058,0.431547285,285.3255007,1141.247033,3183.340196,16.94541238,0.316908422,6.185200812
LF7,4.689908901,64.97419048,88.55399031,0.052632255,0.538345531,0.368913101,1.057797453,946.1159423,0.423321102,266.3663825,1036.375564,2702.927487,16.3498612,0.341692554,6.919386986
LF8,4.733804212,60.84825128,105.6221015,0.072577945,0.475944361,0.336658193,1.342481431,709.2901717,0.42783387,362.5404847,1281.063765,2909.48408,15.26793269,0.305665232,6.281271556
LF9,4.289834346,70.38402141,96.94837821,0.075070562,0.496747502,0.347365866,1.450704011,744.9069279,0.436591396,366.6691381,1255.381723,2798.166067,15.6353174,0.294368413,6.732056252
LF10,5.845442408,49.25935951,55.4270968,0.082605601,0.271524635,0.798318875,2.585854579,1029.495765,0.479579046,249.1006482,1802.609958,4583.56922,20.77248366,0.298616914,4.677730884
LF11,5.169367309,54.6404431,64.07267415,0.08857861,0.307414954,0.840086764,2.529770662,988.6639432,0.499148709,251.7847128,3422.710608,3735.862875,22.04046775,0.290617705,4.568931471
LF12,5.994420927,61.27744936,65.3365328,0.069676398,0.29729375,0.80709894,2.942174775,924.9002245,0.496853757,211.9630644,2924.849343,3832.407802,15.73823688,0.258879773,4.980820251
