sample,group
NF1,NF
NF2,NF
NF3,NF
NF4,NF
NF5,NF
NF6,NF
NF7,NF
NF8,NF
NF9,NF
NF10,NF
NF11,NF
NF12,NF
NF13,NF
NF14,NF
NF15,NF
NF16,NF
NF17,NF
NF18,NF
NF19,NF
NF20,NF
NF21,NF
NF22,NF
NF23,NF
NF24,NF
NF25,NF
NF26,NF
NF27,NF
NF28,NF
NF29,NF
NF30,NF
NF31,NF
NF32,NF
NF33,NF
NF34,NF
NF35,NF
NF36,NF
LF1,LF
LF2,LF
LF3,LF
LF4,LF
LF5,LF
LF6,LF
LF7,LF
LF8,LF
LF9,LF
LF10,LF
LF11,LF
LF12,LF
LF13,LF
LF14,LF
LF15,LF
LF16,LF
LF17,LF
LF18,LF
LF19,LF
LF20,LF
LF21,LF
LF22,LF
LF23,LF
LF24,LF
LF25,LF
LF26,LF
LF27,LF
LF28,LF
LF29,LF
LF30,LF
LF31,LF
LF32,LF
LF33,LF
LF34,LF
LF35,LF
LF36,LF
