sample,group
CF1,CF
CF2,CF
CF3,CF
CF4,CF
CF5,CF
CF6,CF
CF7,CF
CF8,CF
CF9,CF
CF10,CF
CF11,CF
CF12,CF
CF13,CF
CF14,CF
CF15,CF
CF16,CF
CF17,CF
CF18,CF
CF19,CF
CF20,CF
CF21,CF
CF22,CF
CF23,CF
CF24,CF
CF25,CF
CF26,CF
CF27,CF
CF28,CF
CF29,CF
CF30,CF
CF31,CF
CF32,CF
CF33,CF
CF34,CF
CF35,CF
CF36,CF
LF1,LF
LF2,LF
LF3,LF
LF4,LF
LF5,LF
LF6,LF
LF7,LF
LF8,LF
LF9,LF
LF10,LF
LF11,LF
LF12,LF
LF13,LF
LF14,LF
LF15,LF
LF16,LF
LF17,LF
LF18,LF
LF19,LF
LF20,LF
LF21,LF
LF22,LF
LF23,LF
LF24,LF
LF25,LF
LF26,LF
LF27,LF
LF28,LF
LF29,LF
LF30,LF
LF31,LF
LF32,LF
LF33,LF
LF34,LF
LF35,LF
LF36,LF
