sample,group
NF1,NF
NF2,NF
NF3,NF
NF4,NF
NF5,NF
NF6,NF
NF7,NF
NF8,NF
NF9,NF
NF10,NF
NF11,NF
NF12,NF
NF13,NF
NF14,NF
NF15,NF
NF16,NF
NF17,NF
NF18,NF
NF19,NF
NF20,NF
NF21,NF
NF22,NF
NF23,NF
NF24,NF
NF25,NF
NF26,NF
NF27,NF
NF28,NF
NF29,NF
NF30,NF
NF31,NF
NF32,NF
NF33,NF
NF34,NF
NF35,NF
NF36,NF
CF1,CF
CF2,CF
CF3,CF
CF4,CF
CF5,CF
CF6,CF
CF7,CF
CF8,CF
CF9,CF
CF10,CF
CF11,CF
CF12,CF
CF13,CF
CF14,CF
CF15,CF
CF16,CF
CF17,CF
CF18,CF
CF19,CF
CF20,CF
CF21,CF
CF22,CF
CF23,CF
CF24,CF
CF25,CF
CF26,CF
CF27,CF
CF28,CF
CF29,CF
CF30,CF
CF31,CF
CF32,CF
CF33,CF
CF34,CF
CF35,CF
CF36,CF
